OBJECT_ID,SEMIMAJOR_AXIS,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,PERIOD,VELOCITY_PERIGEE,VELOCITY_APOGEE,RCS_SIZE,OBJECT_TYPE
2006-063A,7121.611,0.0203437,90.0541,22.6509,106.2274,256.1419,14.44559358,5981.0626348799715,7.635124821948269,7.330665277894107,LARGE,PAYLOAD
2006-062G,16080.14,0.5635506,65.3166,269.7008,300.2909,15.7778,4.25763107,20292.974797367777,9.423516553929822,2.630479720869116,MEDIUM,ROCKET BODY
2006-062H,16093.658,0.576472,64.7791,258.4738,330.4993,6.6363,4.25226776,20318.56996700509,9.601599011828364,2.5795231544116506,MEDIUM,ROCKET BODY
2007-001A,7000.143,0.0011486,97.9321,264.2126,281.6755,78.3179,14.82321471,5828.695171076018,7.554648596011122,7.537313967810314,MEDIUM,PAYLOAD
2007-001B,6876.496,0.0167702,97.87,33.8647,133.1639,228.3755,15.22481394,5674.946199046948,7.742285867558098,7.48688954997105,LARGE,PAYLOAD
2007-001D,6874.906,0.0007228,97.423,331.554,116.6175,243.5803,15.23009359,5672.978927505068,7.619901731247294,7.608894357434397,LARGE,PAYLOAD
2007-001E,6988.916,0.0023424,97.9774,280.4186,262.2237,97.6318,14.85894582,5814.678985080249,7.569744811748504,7.534364945054169,LARGE,ROCKET BODY
1999-025X,7670.665,0.058279,99.2296,213.6057,56.5324,113.9528,12.92269887,6685.909876038147,7.6417236491380205,6.800070337396759,SMALL,DEBRIS
1999-025Y,7701.54,0.0630941,99.1531,109.6497,195.2418,231.1154,12.84506886,6726.316607694698,7.663338424305353,6.75370786408126,SMALL,DEBRIS
1999-025Z,7766.406,0.0725744,99.3729,98.478,243.6448,108.8389,12.68447841,6811.474402596267,7.704296767426286,6.661693633661576,SMALL,DEBRIS
1999-025AA,7823.484,0.0739878,99.4517,30.5354,171.4863,252.8488,12.5459188,6886.70167385429,7.687057271348915,6.627923348261317,SMALL,DEBRIS
1999-025AB,7800.189,0.0716678,99.5628,133.2587,134.8088,245.8374,12.60216242,6855.966231865149,7.680592218552732,6.6533127817705635,SMALL,DEBRIS
1999-025AC,7836.499,0.0871078,99.4376,13.4739,284.3323,66.2671,12.51467638,6903.8940661764045,7.78277346785049,6.535536947823999,MEDIUM,DEBRIS
1999-025AE,8042.153,0.1006346,99.0522,207.2636,304.684,46.3336,12.03772008,7177.43886930456,7.788183762650217,6.363985835961741,SMALL,DEBRIS
1999-025AF,8075.236,0.1031803,99.1929,228.624,119.1372,47.2634,11.96382063,7221.773267257685,7.792232847591771,6.334619939013957,SMALL,DEBRIS
1999-025AL,7843.619,0.105884,99.231,224.6534,316.028,36.1106,12.49764108,6913.3046346054925,7.928089017623661,6.409922957635336,SMALL,DEBRIS
1999-025AN,8255.737,0.0735921,100.0749,241.5559,202.1039,154.666,11.57361386,7465.25683724513,7.48013597108337,6.454646095743258,SMALL,DEBRIS
1999-025AQ,7245.038,0.0035973,98.9377,342.1096,211.2431,270.9856,14.07802624,6137.2239635774395,7.444077024785951,7.390711838806949,SMALL,DEBRIS
1999-025AR,7197.04,0.0091425,98.7256,342.2544,177.7661,357.5886,14.21909335,6076.336786972427,7.510391833175224,7.374308460738121,SMALL,DEBRIS
1999-025AT,7083.805,0.0056495,98.8619,222.8094,219.5052,140.202,14.56139252,5933.498453621796,7.5437833122736215,7.4590249470127805,SMALL,DEBRIS
1999-025AU,7231.23,0.0040123,98.8912,34.0652,189.1366,233.1759,14.11836783,6119.687561646423,7.454273491257593,7.394694975080108,SMALL,DEBRIS
1999-025AW,7115.934,0.0048514,99.2331,27.8979,152.4006,207.9774,14.46288353,5973.912451191536,7.520727946283952,7.4481081349196,SMALL,DEBRIS
1999-025AY,7208.09,0.0029111,98.879,21.7664,350.3897,134.5733,14.18640824,6090.3365064869995,7.458011660254156,7.414715663741274,SMALL,DEBRIS
1999-025BA,7248.713,0.0134363,98.8244,327.9967,87.1277,274.526,14.06732073,6141.894512701568,7.515780402670374,7.3164895735883695,SMALL,DEBRIS
1999-025BC,7205.635,0.0212945,98.5165,317.8565,16.5733,158.3053,14.19365904,6087.225271264512,7.597701652303059,7.280869910166061,SMALL,DEBRIS
1999-025BD,7250.636,0.0131469,98.6913,318.7732,99.7209,74.0054,14.06172411,6144.339010218286,7.512608492229459,7.317636741170473,SMALL,DEBRIS
1999-025BF,7266.311,0.0060471,98.9866,338.0459,312.1398,169.514,14.01624978,6164.273707742101,7.451405366364905,7.3618282612950825,SMALL,DEBRIS
1999-025BG,7307.78,0.015873,98.6328,334.0905,115.9014,58.5412,13.89711111,6217.1194657736305,7.503610034501622,7.269122451747391,SMALL,DEBRIS
1999-025BH,7313.005,0.0380932,98.2453,55.278,319.7165,50.0033,13.88222063,6223.788131798335,7.669598232097034,7.106720950221151,SMALL,DEBRIS
1999-025BK,7258.534,0.0102411,99.2199,317.7192,0.349,359.773,14.03878,6154.380936235199,7.4867308150670056,7.334940595979338,SMALL,DEBRIS
1999-025BL,7240.754,0.007416,98.943,8.4972,210.5346,324.5998,14.09052287,6131.780970595026,7.474769672043251,7.364720016512919,SMALL,DEBRIS
1999-025BN,7283.57,0.014528,98.4439,249.6845,186.4871,298.4807,13.9664596,6186.249233843056,7.505966606794761,7.290996329259761,SMALL,DEBRIS
1999-025BP,7192.275,0.0049634,98.8282,56.0464,311.3009,61.1593,14.23322662,6070.303122876857,7.481546327085139,7.407645313297265,SMALL,DEBRIS
1999-025BQ,7200.035,0.0052579,99.1035,184.3403,100.9669,23.1585,14.21022074,6080.130743978858,7.479715094520545,7.401471304552857,SMALL,DEBRIS
1999-025BR,6956.144,0.0054322,99.0292,173.3181,344.1057,15.8453,14.96407736,5773.827408227193,7.611036980349781,7.528794388388522,SMALL,DEBRIS
1999-025BS,7249.013,0.0024277,98.9514,340.8952,168.4177,314.0924,14.06644926,6142.275026412743,7.433337080053255,7.39733266311776,SMALL,DEBRIS
1999-025BT,7301.964,0.0093004,99.4735,323.2222,296.8038,238.787,13.91372014,6209.697990950104,7.457414896761359,7.319979220513059,SMALL,DEBRIS
1999-025BV,7232.28,0.0066047,98.797,334.2523,117.9423,242.8456,14.11529424,6121.020116970653,7.473081517736474,7.375014299293734,SMALL,DEBRIS
1999-025BW,7240.296,0.004868,99.3546,143.7598,20.4951,339.8156,14.09185731,6131.200316560686,7.4559819269310985,7.383742150123994,SMALL,DEBRIS
1999-025BX,7268.614,0.0076769,98.8425,327.9199,52.4044,122.5003,14.00958887,6167.2045341042185,7.462377646051315,7.348674678461264,SMALL,DEBRIS
1999-025BY,7261.25,0.0061094,99.2063,320.2732,63.1288,56.561,14.03090536,6157.834992338656,7.4544657270801205,7.363934194598617,SMALL,DEBRIS
1999-025BZ,6987.817,0.0077964,98.9572,109.1002,315.6177,172.1129,14.86245327,5813.306755648424,7.611743641077855,7.4939734285164725,SMALL,DEBRIS
1999-025CA,7183.98,0.0063213,99.0772,159.1336,324.4553,101.0457,14.25788572,6059.804496735719,7.49603683849345,7.401862745850934,SMALL,DEBRIS
1999-025CB,7050.521,0.0068951,99.0119,39.4453,357.3338,2.7486,14.66462329,5891.729933418563,7.570992201584278,7.467301661568454,SMALL,DEBRIS
1999-025CC,7244.953,0.0078391,98.8853,337.1671,217.9449,315.5228,14.07827246,6137.116627447342,7.475764500033733,7.3594696162725945,SMALL,DEBRIS
1999-025CE,7226.371,0.0051595,98.8886,2.5305,168.5801,315.6617,14.13261013,6113.520376295841,7.465338779743031,7.388699369909896,MEDIUM,DEBRIS
1999-025CF,7453.058,0.030947,99.5514,171.3739,89.0874,39.7811,13.49276622,6403.431186107071,7.543033333678644,7.090179302235023,SMALL,DEBRIS
1999-025CG,7176.526,0.0080976,99.018,215.2546,209.5205,150.139,14.28010503,6050.375667299977,7.513263320944433,7.392561910549882,SMALL,DEBRIS
1999-025CH,7154.043,0.0059004,98.9861,200.4374,199.4611,170.2734,14.34747361,6021.966120905101,7.508542573557503,7.420455513246125,SMALL,DEBRIS
1999-025CJ,7248.676,0.0051723,98.892,2.1966,322.7062,37.052,14.06742974,6141.846918511783,7.453939958190076,7.377228704515963,SMALL,DEBRIS
1999-025CK,7289.545,0.0150258,98.4453,228.4244,229.0332,256.7215,13.94928961,6193.863803505905,7.506625528197636,7.284378854543447,SMALL,DEBRIS
1999-025CL,7257.182,0.0167179,98.2713,219.2391,14.2812,160.5241,14.04270524,6152.6606535821575,7.536090215772858,7.288258240712187,SMALL,DEBRIS
1999-025CM,7300.06,0.0114297,98.7128,132.0284,85.5181,340.9951,13.91916203,6207.270223148627,7.474286100416572,7.305359188656058,SMALL,DEBRIS
1999-025CN,7245.941,0.0056948,99.0247,345.7847,172.7793,3.3586,14.07539473,6138.3713677207825,7.459242895837937,7.374766180947459,SMALL,DEBRIS
1999-025CQ,7299.366,0.0121867,99.4018,327.5997,30.0538,144.7145,13.92114867,6206.3844046283,7.4803034543307945,7.300178159052969,SMALL,DEBRIS
1999-025CS,7314.343,0.0150164,98.3117,98.0151,93.3046,332.3676,13.87841134,6225.496411896955,7.493819590274071,7.272088803470248,SMALL,DEBRIS
1999-025CT,7157.17,0.0107159,98.9668,142.9484,0.7943,10.5491,14.33807324,6025.914260150619,7.543142072930766,7.383192959358261,MEDIUM,DEBRIS
1999-025CU,7169.65,0.0066019,98.6763,17.7298,150.9027,331.2629,14.30065273,6041.682266624763,7.505630011340009,7.407177149743255,SMALL,DEBRIS
1999-025CV,7127.37,0.0060572,98.9897,127.2362,15.4436,344.8583,14.42808815,5988.319387971025,7.523758696666983,7.433161638810925,SMALL,DEBRIS
1999-025CW,7258.933,0.0098619,98.9082,331.6719,181.2947,351.3746,14.03762447,6154.887544160098,7.483687454080689,7.337522166919349,SMALL,DEBRIS
1999-025CX,7370.47,0.0189852,99.6642,338.2039,166.6696,193.9567,13.7201855,6297.290951350476,7.494927743782477,7.215644585987333,SMALL,DEBRIS
1999-025CY,7243.233,0.0028343,98.848,337.3044,178.6777,306.2036,14.08328771,6134.931116876259,7.439325435616664,7.39727406166153,SMALL,DEBRIS
1999-025CZ,7248.114,0.0080703,98.8338,329.7872,244.7626,114.5162,14.06906558,6141.132792985388,7.475863414791333,7.3561644999113085,SMALL,DEBRIS
1999-025DA,7179.778,0.0031893,99.0478,94.5538,269.9781,156.2081,14.27040261,6054.489306381244,7.4747809133828795,7.427253853899584,SMALL,DEBRIS
1999-025DB,7130.059,0.0124763,98.802,196.6232,159.0306,215.6469,14.41992733,5991.708420072876,7.570786353078875,7.384203414244813,SMALL,DEBRIS
1999-025DC,7184.204,0.0070322,99.1263,242.8921,14.8533,358.5289,14.25721753,6060.088500312024,7.501250240462956,7.39648637702148,SMALL,DEBRIS
1999-025DD,7180.156,0.0072649,99.0234,70.3592,286.8143,72.5077,14.2692751,6054.967711709475,7.5051102829732335,7.396849038697228,SMALL,DEBRIS
1999-025DE,7287.684,0.0148353,98.453,234.0253,223.7483,192.3369,13.95463419,6191.491573596026,7.506154111401915,7.286697716676818,SMALL,DEBRIS
1999-025DF,7241.418,0.0013228,98.8907,338.2129,142.4218,33.4627,14.08858343,6132.6250740029145,7.429020491966333,7.40939223960501,SMALL,DEBRIS
1999-025DG,7110.47,0.0052829,99.147,316.7299,67.8621,107.1739,14.4795564,5967.033630947423,7.52686361600716,7.447754207507313,SMALL,DEBRIS
1999-025DH,7106.603,0.0224765,98.1625,338.0795,121.4943,240.8427,14.4913785,5962.1657111502545,7.659509248969241,7.32276026816732,SMALL,DEBRIS
1999-025DJ,7184.49,0.0295585,98.9511,81.5839,248.2251,120.8635,14.25636538,6060.450731797952,7.672055254816266,7.231527698102419,SMALL,DEBRIS
1999-025DK,7232.179,0.0011638,98.6081,340.1368,350.9899,133.9467,14.11558857,6120.89248503791,7.432582115857727,7.415302148151271,MEDIUM,DEBRIS
1999-025DL,7261.581,0.0115604,98.8676,207.6327,269.191,211.8205,14.02994621,6158.255969535894,7.495043530918995,7.323732551891275,MEDIUM,DEBRIS
1999-025DM,7271.184,0.0189493,98.7673,334.5831,304.7598,175.2538,14.00216004,6170.47653741858,7.545653520300688,7.265001966288661,SMALL,DEBRIS
1999-025DN,7273.05,0.006966,98.9457,332.9168,85.9137,89.2647,13.99677171,6172.851982594778,7.45479873139123,7.351656961037768,SMALL,DEBRIS
